NB_DIGIT_TEST,,,,,,,,,,,
,,,,,,,,,,,
Confusion Matrix,,,,,,,,,,,
,,,,,,,,,,,
Timings,,,,,,,,,,Avg,Std
2.544634819,2.6188731194,2.9515240192,3.1023828983,3.0179300308,2.613505125,2.8026890755,3.0912210941,2.7008919716,2.7982449532,2.8241897106,0.1958259743
5.578594923,4.2992250919,5.1902680397,5.117385149,4.7992441654,4.3981499672,5.1567938328,4.1974701881,4.7500030994,4.7310049534,4.821813941,0.420042569
7.6756739616,6.8706810474,7.2779450417,6.784085989,7.5404748917,6.9840128422,8.5155141354,6.8401670456,8.1726539135,7.2167339325,7.3877942801,0.5594708328
8.8866429329,8.6128261089,8.9531750679,9.2595171928,9.3991429806,8.8176419735,9.4671769142,9.0551819801,10.3401691914,9.7547719479,9.254624629,0.4861647067
11.1309669018,12.0294139385,11.8391458988,10.7894802094,11.4628379345,11.3972930908,11.3727910519,11.1382088661,12.7232749462,11.2974839211,11.5180896759,0.5224432525
13.370923996,13.2786021233,13.1020579338,14.2301089764,13.576004982,13.4991858006,14.1257839203,13.6596348286,12.6894309521,13.5235378742,13.5055271387,0.428629394
15.887843132,15.8080191612,15.1101372242,15.5892939568,15.6891710758,16.4665970802,16.216146946,15.2041959763,15.4527959824,15.9333078861,15.7357508421,0.4012388218
18.0530631542,18.2896108627,17.3571162224,17.4190070629,18.5575940609,19.3646190166,19.2980308533,19.2266800404,18.679954052,19.2211289406,18.5466804266,0.7186908392
20.872658968,21.4613699913,21.7688939571,22.2226891518,20.2192108631,19.8452370167,20.7029290199,19.8817670345,19.8730018139,19.772739172,20.6620496988,0.8503669816
22.0440239906,22.0280880928,21.9935600758,21.9592680931,21.9374270439,21.9817450047,22.0100519657,22.0266931057,22.0389940739,22.1880288124,22.0207880259,0.0648411513
